2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0
0,1,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,2,1,0,a,0,0,0,1,0,0,0,a,0,1,2,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0
0,0,1,0,0,b,0,0,0,1,0,0,1,0,0,1,0,0,0,b,0,0,1,0,0
0,2,0,1,0,0,0,1,1,2,0,0,b,0,0,2,1,1,0,0,0,1,0,2,0
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1,0,0,0
1,1,1,1,1,1,0,0,1,a,0,0,1,0,0,a,1,0,0,1,1,1,1,1,1
0,0,0,1,0,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,2,0,1,0,0,0,1,1,2,0,0,b,0,0,2,1,1,0,0,0,1,0,2,0
0,0,1,0,0,b,0,0,0,1,0,0,1,0,0,1,0,0,0,b,0,0,1,0,0
0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,2,1,0,a,0,0,0,1,0,0,0,a,0,1,2,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,0,1,0
0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"(1,13)",,,,,,,,,,,,
,,"(2,3)","(2,4)",,,,,,,,,"(2,13)",,,,,,,,,"(2,22)","(2,23)",,
,"(3,2)",,,,,"(3,7)","(3,8)","(3,9)",,,,"(3,13)",,,,"(3,17)","(3,18)","(3,19)",,,,,"(3,24)",
,"(4,2)",,,,,,,,"(4,10)","(4,11)","(4,12)","(4,13)","(4,14)","(4,15)","(4,16)",,,,,,,,"(4,24)",
,,,,,"(5,6)",,,,,,,"(5,13)",,,,,,,"(5,20)",,,,,
